REPORT_DISTRICT,REPORT_DISTNAME,REPORT_CHARTER_STATUS,BLANK_COLUMN,DISTRICT,SERVICE,SERVICEX,CTE_STUDENTS,CTE_HOURS,CTE_AVG,ALL_STUDENTS,ALL_HOURS,ALL_AVG
,,,,1906,13008400,ADVANCED ANIMATION,3,3,3,3,3,3
,,,,1906,13020700,MEDICAL MICROBIOLOGY,3,3,3,3,3,3
Total,,,,1906,,,51,231,4.5,59,270,4.6
,,,,1906,,,,,,,,
1907,PALESTINE ISD,TRADITIONAL ISD/CSD,,1907,3060200,EARTH AND SPACE SCIENCE (ESS),17,51,3,17,51,3
,,,,1907,3102500,INDEP STUDY IN MATH (1ST TIME),11,74,6.7,12,81,6.8
,,,,1907,3102510,ADVANCED QUANT REASONING,19,105,5.5,20,111,5.6
,,,,1907,3155600,MUSIC STUDIES-MUSIC APPREC. I,28,84,3,38,114,3
,,,,1907,3220300,ENGLISH III (ENG 3),14,42,3,12,48,4
,,,,1907,3220400,ENGLISH IV (ENG 4),37,219,5.9,39,231,5.9
,,,,1907,3310300,ECONOMICS W/EMPH FREE ENTERPR,29,87,3,39,117,3
,,,,1907,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3,3,3,3
,,,,1907,3340100,US HISTORY STUDIES SINCE 1877,51,294,5.8,51,294,5.8
,,,,1907,3380001,SOCIAL STD ADV STDYS (1ST CRD),6,18,3,7,21,3
,,,,1907,3440300,LANG O/T ENGLISH III - SPANISH,30,224,7.5,31,228,7.4
,,,,1907,3500110,ART I - ART APPRECIATION,3,3,3,3,3,3
,,,,1907,13009900,PROFESSIONAL COMMUNICATIONS,9,27,3,9,27,3
,,,,1907,13020600,ANATOMY & PHYSIOLOGY,17,136,8,17,136,8
,,,,1907,A3010200,AP BIOLOGY,20,156,7.8,21,164,7.8
,,,,1907,A3040000,AP CHEMISTRY,9,36,4,11,44,4
,,,,1907,A3220100,AP ENGLISH LANGUAGE AND COMP,48,285,5.9,48,285,5.9
Total,,,,1907,,,333,"1,856",5.6,362,"1,970",5.4
,,,,1907,,,,,,,,
1908,WESTWOOD ISD,TRADITIONAL ISD/CSD,,1908,3102500,INDEP STUDY IN MATH (1ST TIME),3,12,4,7,21,3
,,,,1908,3102502,INDEPEND STUDY MATH,3,3,3,3,3,3
,,,,1908,3220300,ENGLISH III (ENG 3),17,99,5.8,22,129,5.9
,,,,1908,3220400,ENGLISH IV (ENG 4),17,96,5.6,27,156,5.8
,,,,1908,3241400,COMMUNICATION APPLICATIONS,13,39,3,13,39,3
,,,,1908,3310300,ECONOMICS W/EMPH FREE ENTERPR,17,51,3,27,81,3
,,,,1908,3330100,UNITED STATES GOVERNMENT (GOVT,17,51,3,27,81,3
,,,,1908,3340100,US HISTORY STUDIES SINCE 1877,16,96,6,21,126,6
,,,,1908,3350100,PSYCHOLOGY (PSYCH),6,24,4,10,30,3
,,,,1908,3500100,ART I (ART 1),3,3,3,3,3,3
,,,,1908,13011400,BUSIN INFO MGT I,12,36,3,12,36,3
Total,,,,1908,,,124,513,4.1,169,708,4.2
,,,,1908,,,,,,,,
1909,SLOCUM ISD,TRADITIONAL ISD/CSD,,1909,3102500,INDEP STUDY IN MATH (1ST TIME),3,3,3,3,3,3
,,,,1909,3220300,ENGLISH III (ENG 3),3,12,4,6,18,3
,,,,1909,3220400,ENGLISH IV (ENG 4),18,60,3.3,21,69,3.3
,,,,1909,3221800,INDEP STUDY/ENGLISH (1ST TIME),3,12,4,3,12,4
,,,,1909,3240900,PUBLIC SPEAKING I (PUBSPKG1),10,30,3,10,30,3
,,,,1909,3330100,UNITED STATES GOVERNMENT (GOVT,6,18,3,9,27,3
,,,,1909,3340100,US HISTORY STUDIES SINCE 1877,12,48,4,12,72,6
,,,,1909,3350100,PSYCHOLOGY (PSYCH),5,15,3,5,15,3
,,,,1909,3380001,SOCIAL STD ADV STDYS (1ST CRD),14,48,3.4,14,48,3.4
,,,,1909,3500500,"ART II, DRAWING I",3,3,3,3,3,3
,,,,1909,13014300,HUMAN GROWTH & DEVELOP,3,12,4,3,12,4
Total,,,,1909,,,73,267,3.7,84,315,3.8
,,,,1909,,,,,,,,
2901,ANDREWS ISD,TRADITIONAL ISD/CSD,,2901,3102500,INDEP STUDY IN MATH (1ST TIME),26,78,3,37,111,3
,,,,2901,3102530,STATISTICS,24,72,3,34,102,3
,,,,2901,3155600,MUSIC STUDIES-MUSIC APPREC. I,3,3,3,3,3,3
,,,,2901,3220300,ENGLISH III (ENG 3),19,111,5.8,22,129,5.9
,,,,2901,3220400,ENGLISH IV (ENG 4),10,57,5.7,18,105,5.8
,,,,2901,3241000,PUBLIC SPEAKING II (PUBSPKG2),10,30,3,18,54,3
,,,,2901,3330100,UNITED STATES GOVERNMENT (GOVT,12,12,1,24,24,1
,,,,2901,3340100,US HISTORY STUDIES SINCE 1877,6,18,3,13,39,3
,,,,2901,3350100,PSYCHOLOGY (PSYCH),15,45,3,26,78,3
,,,,2901,3370100,SOCIOLOGY (SOC),6,18,3,6,24,4
,,,,2901,3440300,LANG O/T ENGLISH III - SPANISH,6,6,6,6,6,6
,,,,2901,3502300,"ART IV, DRAWING III",,0,,6,6,6
,,,,2901,13016600,ACCOUNTING I,3,3,3,3,3,3
,,,,2901,13020300,MEDICAL TERMINOLOGY,6,18,3,6,18,3
,,,,2901,13029200,"PRINC LAW, PUB SAFE,CORRT &SEC",9,27,3,9,27,3
,,,,2901,13029600,COURT SYS & PRACTICES,5,15,3,5,15,3
,,,,2901,13033000,PRACTICUM MANUFACTURING,3,12,4,3,12,4
,,,,2901,13033010,PRACTICUM MANUFACTURING II,3,12,4,3,12,4
Total,,,,2901,,,158,540,3.4,230,777,3.4
,,,,2901,,,,,,,,
3801,PINEYWOODS COMMUNITY ACADEMY,OPEN ENROLLMENT CHARTER,,3801,3010200,BIOLOGY (BIO),3,3,3,3,3,3
,,,,3801,3150700,"MUSIC III, ORCHESTRA III",7,21,3,9,27,3
,,,,3801,3220300,ENGLISH III (ENG 3),15,45,3,21,63,3
,,,,3801,3220400,ENGLISH IV (ENG 4),5,15,3,5,15,3
,,,,3801,3241400,COMMUNICATION APPLICATIONS,3,3,3,3,3,3
,,,,3801,3250700,"THEATRE I, THEATRE PROD I",3,3,3,7,21,3
,,,,3801,3310300,ECONOMICS W/EMPH FREE ENTERPR,5,15,3,11,33,3
,,,,3801,3320100,WORLD GEOGRAPHY STUDIES (W GEO,3,3,3,6,18,3
,,,,3801,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3,10,30,3
,,,,3801,3340100,US HISTORY STUDIES SINCE 1877,,0,,3,3,3
,,,,3801,3340400,WORLD HISTORY STUDIES (W HIST),6,18,3,13,39,3
,,,,3801,3350100,PSYCHOLOGY (PSYCH),3,3,3,3,3,3
,,,,3801,3370100,SOCIOLOGY (SOC),,0,,3,3,3
,,,,3801,3440400,LANG O/T ENGLISH IV - SPANISH,15,66,4.4,30,144,4.8
,,,,3801,3500110,ART I - ART APPRECIATION,,0,,3,3,3
,,,,3801,13011300,TOUCH SYS DATA ENTRY,3,12,4,3,12,4
,,,,3801,13011400,BUSIN INFO MGT I,10,30,3,10,30,3
,,,,3801,13014400,INSTR PRACT IN ED & TRAINING,3,3,3,3,3,3
,,,,3801,13020200,PRINCIPLES OF HEALTH SCIENCE,3,3,3,3,3,3
,,,,3801,13020300,MEDICAL TERMINOLOGY,5,15,3,5,15,3
,,,,3801,13020600,ANATOMY & PHYSIOLOGY,3,12,4,3,12,4
,,,,3801,13024700,CHILD DEVELOPMENT,16,48,3,16,48,3
,,,,3801,13024800,CHILD GUIDANCE,15,45,3,15,45,3
,,,,3801,13027200,PRINCIPLES OF INFO TECH,5,15,3,5,15,3
,,,,3801,13032300,WELDING,3,3,3,3,3,3
,,,,3801,13036700,ENGINEERING MATHEMATICS,10,30,3,10,30,3
,,,,3801,13039700,ADV AUTOMOTIVE TECHNOLOGY,3,3,3,3,3,3
,,,,3801,CP110100,COLGE PREP CRSE ENGL LANG ARTS,3,3,3,7,21,3
,,,,3801,IHE11100,MATH-INST OF HIGHER EDU ENDRSD,3,3,3,7,21,3
,,,,3801,PES00052,FOUND OF PERSON FITNESS,6,18,3,12,39,3.3
,,,,3801,PES00054,AEROBIC ACTIVITIES,5,15,3,9,27,3
Total,,,,3801,,,152,483,3.2,230,753,3.3
,,,,3801,,,,,,,,
3902,HUDSON ISD,TRADITIONAL ISD/CSD,,3902,3102500,INDEP STUDY IN MATH (1ST TIME),35,111,3.2,38,120,3.2
,,,,3902,3155600,MUSIC STUDIES-MUSIC APPREC. I,19,90,4.7,24,114,4.8
,,,,3902,3220400,ENGLISH IV (ENG 4),41,198,4.8,48,228,4.8
,,,,3902,3241400,COMMUNICATION APPLICATIONS,27,81,3,34,102,3
,,,,3902,3250100,"THEATRE I, THEATRE ARTS I",11,33,3,9,36,4
,,,,3902,3330100,UNITED STATES GOVERNMENT (GOVT,29,87,3,41,123,3
,,,,3902,3340100,US HISTORY STUDIES SINCE 1877,27,144,5.3,37,198,5.4
,,,,3902,3350100,PSYCHOLOGY (PSYCH),6,18,3,6,18,3
,,,,3902,3370100,SOCIOLOGY (SOC),25,75,3,37,111,3
,,,,3902,3380001,SOCIAL STD ADV STDYS (1ST CRD),6,6,6,6,6,6
,,,,3902,3380002,SPEC TOPIC IN SOC STUD (1ST),12,36,3,12,36,3
,,,,3902,3500110,ART I - ART APPRECIATION,4.5,4.5,4.5,4.5,4.5,4.5
,,,,3902,13020400,HEALTH SCIENCE,3,3,3,3,3,3
,,,,3902,13020500,PRACTICUM HEALTH SCIENCE,33,315,9.5,33,315,9.5
,,,,3902,13020510,PRACTICUM HEALTH SCIENCE II,0,35,0,0,35,0
,,,,3902,13037200,SCIENTIFIC RESEARCH & DESIGN,10,40,4,14,56,4
,,,,3902,13037210,SCIENTIFIC RESEARCH & DESGN II,6,18,3,6,18,3
,,,,3902,CP110100,COLGE PREP CRSE ENGL LANG ARTS,12,72,6,13,78,6
Total,,,,3902,,,290,"1,371",4.7,350,"1,606",4.6
,,,,3902,,,,,,,,
3903,LUFKIN ISD,TRADITIONAL ISD/CSD,,3903,3102500,INDEP STUDY IN MATH (1ST TIME),21,123,5.9,23,135,5.9
,,,,3903,3220400,ENGLISH IV (ENG 4),57,684,12,62,744,12
,,,,3903,3340100,US HISTORY STUDIES SINCE 1877,66,744,11.3,70,786,11.2
Total,,,,3903,,,144,"1,551",10.8,155,"1,665",10.7
,,,,3903,,,,,,,,
3904,HUNTINGTON ISD,TRADITIONAL ISD/CSD,,3904,3102530,STATISTICS,,0,,3,3,3
,,,,3904,3102540,ALGEBRAIC REASONING,3,3,3,3,3,3
,,,,3904,3152500,"MUSIC I, APPLIED MUSIC I",3,3,3,3,3,3
,,,,3904,3220400,ENGLISH IV (ENG 4),46,153,3.3,46,153,3.3
,,,,3904,3241400,COMMUNICATION APPLICATIONS,27,81,3,46,138,3
,,,,3904,3250100,"THEATRE I, THEATRE ARTS I",3,3,3,5,15,3
,,,,3904,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,12,4,3,12,4
,,,,3904,3320100,WORLD GEOGRAPHY STUDIES (W GEO,3,3,3,6,24,4
,,,,3904,3330100,UNITED STATES GOVERNMENT (GOVT,40,171,4.3,49,201,4.1
,,,,3904,3340100,US HISTORY STUDIES SINCE 1877,44,141,3.2,60,198,3.3
,,,,3904,3350100,PSYCHOLOGY (PSYCH),24,72,3,37,111,3
,,,,3904,3370100,SOCIOLOGY (SOC),11,33,3,11,33,3
,,,,3904,3502300,"ART IV, DRAWING III",14,42,3,21,63,3
,,,,3904,13032300,WELDING,3,3,3,3,3,3
,,,,3904,13036700,ENGINEERING MATHEMATICS,3,3,3,3,3,3
,,,,3904,13037200,SCIENTIFIC RESEARCH & DESIGN,5,15,3,5,15,3
,,,,3904,13037210,SCIENTIFIC RESEARCH & DESGN II,5,15,3,5,15,3
Total,,,,3904,,,227,759,3.3,301,993,3.3
,,,,3904,,,,,,,,
3905,DIBOLL ISD,TRADITIONAL ISD/CSD,,3905,3102500,INDEP STUDY IN MATH (1ST TIME),16,48,3,22,66,3
,,,,3905,3102502,INDEPEND STUDY MATH,3,3,3,3,3,3
,,,,3905,3155400,MUSIC STUDIES - MUSIC THEORY I,15,45,3,28,84,3
,,,,3905,3220400,ENGLISH IV (ENG 4),13,75,5.8,13,75,5.8
,,,,3905,3241400,COMMUNICATION APPLICATIONS,13,39,3,24,72,3
,,,,3905,3250400,"THEATRE IV, THEATRE ARTS IV",3,3,3,3,12,4
,,,,3905,3330100,UNITED STATES GOVERNMENT (GOVT,6,24,4,6,24,4
,,,,3905,3340100,US HISTORY STUDIES SINCE 1877,7,21,3,9,36,4
,,,,3905,3350100,PSYCHOLOGY (PSYCH),3,3,3,3,3,3
,,,,3905,3370100,SOCIOLOGY (SOC),9,27,3,20,60,3
Total,,,,3905,,,79,294,3.7,129,444,3.4
,,,,3905,,,,,,,,
3906,ZAVALLA ISD,TRADITIONAL ISD/CSD,,3906,3220400,ENGLISH IV (ENG 4),9,36,4,9,36,4
,,,,3906,3330100,UNITED STATES GOVERNMENT (GOVT,6,24,4,6,24,4
,,,,3906,3350100,PSYCHOLOGY (PSYCH),0,11,0,5,15,3
,,,,3906,3380001,SOCIAL STD ADV STDYS (1ST CRD),0,17,0,7,21,3
,,,,3906,3380021,SOCIAL STD ADV STDYS (2ND CRD),1.7,1.7,1.7,1.8,1.8,1.8
,,,,3906,3500110,ART I - ART APPRECIATION,3,3,3,3,3,3
,,,,3906,I3100300,IB MATHEMATICS HIGHER LEVEL,3,3,3,3,3,3
Total,,,,3906,,,34,105,3.1,41,120,2.9
,,,,3906,,,,,,,,
3907,CENTRAL ISD,TRADITIONAL ISD/CSD,,3907,3220400,ENGLISH IV (ENG 4),0,17,0,0,17,0
,,,,3907,3330100,UNITED STATES GOVERNMENT (GOVT,1,1,1,1,1,1
,,,,3907,13033000,PRACTICUM MANUFACTURING,1.5,1.5,1.5,1.5,1.5,1.5
Total,,,,3907,,,16,25,1.6,17,26,1.5
,,,,3907,,,,,,,,
4901,ARANSAS COUNTY ISD,TRADITIONAL ISD/CSD,,4901,3102500,INDEP STUDY IN MATH (1ST TIME),9,27,3,12,36,3
,,,,4901,3102501,INDEP STUDY IN MATH (2ND TIME),3,3,3,3,3,3
,,,,4901,3220400,ENGLISH IV (ENG 4),25,138,5.5,33,180,5.5
,,,,4901,3241400,COMMUNICATION APPLICATIONS,21,63,3,29,87,3
,,,,4901,3310300,ECONOMICS W/EMPH FREE ENTERPR,6,24,4,10,30,3
,,,,4901,3330100,UNITED STATES GOVERNMENT (GOVT,10,30,3,14,42,3
,,,,4901,3340100,US HISTORY STUDIES SINCE 1877,12,66,5.5,14,78,5.6
,,,,4901,3350100,PSYCHOLOGY (PSYCH),26,78,3,41,123,3
,,,,4901,3370100,SOCIOLOGY (SOC),3,12,4,16,48,3
,,,,4901,3500110,ART I - ART APPRECIATION,,0,,3,3,3
,,,,4901,13016600,ACCOUNTING I,3,3,3,3,3,3
,,,,4901,13020300,MEDICAL TERMINOLOGY,14,42,3,14,42,3
,,,,4901,13022600,CULINARY ARTS,14,42,3,14,42,3
Total,,,,4901,,,141,537,3.8,197,729,3.7
,,,,4901,,,,,,,,
5901,ARCHER CITY ISD,TRADITIONAL ISD/CSD,,5901,3101100,PRECALCULUS (PRE CALC),11,33,3,14,51,3.6
,,,,5901,3330100,UNITED STATES GOVERNMENT (GOVT,10,30,3,15,45,3
,,,,5901,3340100,US HISTORY STUDIES SINCE 1877,18,108,6,23,138,6
Total,,,,5901,,,37,171,4.6,52,234,4.5
,,,,5901,,,,,,,,
5902,HOLLIDAY ISD,TRADITIONAL ISD/CSD,,5902,3101100,PRECALCULUS (PRE CALC),12,36,3,19,57,3
,,,,5902,3220300,ENGLISH III (ENG 3),14,81,5.8,21,120,5.7
,,,,5902,3330100,UNITED STATES GOVERNMENT (GOVT,6,18,3,7,21,3
,,,,5902,3340100,US HISTORY STUDIES SINCE 1877,12,72,6,16,96,6
,,,,5902,A3220200,AP ENGLISH LITERATURE AND COMP,6,18,3,6,18,3
Total,,,,5902,,,47,225,4.8,66,312,4.7
,,,,5902,,,,,,,,
5904,WINDTHORST ISD,TRADITIONAL ISD/CSD,,5904,3220400,ENGLISH IV (ENG 4),24,144,6,24,144,6
Total,,,,5904,,,24,144,6,24,144,6
,,,,5904,,,,,,,,
6902,CLAUDE ISD,TRADITIONAL ISD/CSD,,6902,3102500,INDEP STUDY IN MATH (1ST TIME),3,12,4,5,15,3
,,,,6902,3102501,INDEP STUDY IN MATH (2ND TIME),3,3,3,3,3,3
,,,,6902,3241400,COMMUNICATION APPLICATIONS,3,12,4,3,12,4
,,,,6902,3330100,UNITED STATES GOVERNMENT (GOVT,9,27,3,9,27,3
,,,,6902,3340100,US HISTORY STUDIES SINCE 1877,17,51,3,14,81,5.8
,,,,6902,3350100,PSYCHOLOGY (PSYCH),3,3,3,5,15,3
,,,,6902,3500110,ART I - ART APPRECIATION,3,3,3,3,3,3
Total,,,,6902,,,32,120,3.8,42,165,3.9
,,,,6902,,,,,,,,
7901,CHARLOTTE ISD,TRADITIONAL ISD/CSD,,7901,3102500,INDEP STUDY IN MATH (1ST TIME),3,3,3,3,3,3
,,,,7901,3220300,ENGLISH III (ENG 3),4.5,4.5,4.5,7,21,3
,,,,7901,3220400,ENGLISH IV (ENG 4),7,21,3,7,21,3
,,,,7901,3241400,COMMUNICATION APPLICATIONS,7,21,3,7,21,3
,,,,7901,3340100,US HISTORY STUDIES SINCE 1877,7,21,3,11,33,3
,,,,7901,3350100,PSYCHOLOGY (PSYCH),4.5,4.5,4.5,4.5,4.5,4.5
,,,,7901,13004600,ARCHITECTURAL DESIGN,24,123,5.1,24,123,5.1
,,,,7901,13011400,BUSIN INFO MGT I,10,30,3,11,33,3
,,,,7901,N1290050,COLLEGE TRANSITION,22,66,3,24,72,3
Total,,,,7901,,,77,306,4,84,339,4
,,,,7901,,,,,,,,
7902,JOURDANTON ISD,TRADITIONAL ISD/CSD,,7902,3220300,ENGLISH III (ENG 3),28,165,5.9,32,189,5.9
,,,,7902,3220400,ENGLISH IV (ENG 4),13,78,6,19,114,6
,,,,7902,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,3,3,3,3,3
,,,,7902,3330100,UNITED STATES GOVERNMENT (GOVT,13,39,3,16,48,3
,,,,7902,3340100,US HISTORY STUDIES SINCE 1877,9,36,4,14,42,3
,,,,7902,13011300,TOUCH SYS DATA ENTRY,11,66,6,11,66,6
,,,,7902,13011500,BUSIN INFO MGT II,25,144,5.8,25,144,5.8
,,,,7902,13027400,TELECOMM & NETWORKING,,0,,3,3,3
,,,,7902,13027500,COMPUTER TECHNICIAN,,0,,3,3,3
,,,,7902,13027600,COMPUTER PROGRAMMING,,0,,3,3,3
,,,,7902,13027900,WEB TECHNOLOGIES,,0,,3,3,3
,,,,7902,13040000,SMALL ENGINE TECHNOLOGY,6,6,6,3,12,4
,,,,7902,13040200,TRANS SYSTEMS MGT,6,6,6,3,12,4
Total,,,,7902,,,99,543,5.5,119,642,5.4
,,,,7902,,,,,,,,
7904,LYTLE ISD,TRADITIONAL ISD/CSD,,7904,3101100,PRECALCULUS (PRE CALC),6,6,6,6,6,6
,,,,7904,3220300,ENGLISH III (ENG 3),11,60,5.5,19,105,5.5
,,,,7904,3220400,ENGLISH IV (ENG 4),17,96,5.6,26,144,5.5
,,,,7904,3241400,COMMUNICATION APPLICATIONS,,0,,3,3,3
,,,,7904,3330100,UNITED STATES GOVERNMENT (GOVT,14,42,3,19,57,3
,,,,7904,3340100,US HISTORY STUDIES SINCE 1877,25,108,4.3,37,165,4.5
,,,,7904,3350100,PSYCHOLOGY (PSYCH),3,3,3,6,18,3
,,,,7904,3370100,SOCIOLOGY (SOC),22,66,3,30,90,3
,,,,7904,3380002,SPEC TOPIC IN SOC STUD (1ST),9,27,3,14,42,3
Total,,,,7904,,,102,417,4.1,154,636,4.1
,,,,7904,,,,,,,,
7905,PLEASANTON ISD,TRADITIONAL ISD/CSD,,7905,3102500,INDEP STUDY IN MATH (1ST TIME),31,93,3,32,96,3
,,,,7905,3220300,ENGLISH III (ENG 3),10,60,6,11,66,6
,,,,7905,3220400,ENGLISH IV (ENG 4),23,132,5.7,25,144,5.8
,,,,7905,3310300,ECONOMICS W/EMPH FREE ENTERPR,33,99,3,33,99,3
,,,,7905,3330100,UNITED STATES GOVERNMENT (GOVT,19,57,3,19,57,3
,,,,7905,3340100,US HISTORY STUDIES SINCE 1877,11,33,3,11,33,3
,,,,7905,3350100,PSYCHOLOGY (PSYCH),3,3,3,3,3,3
,,,,7905,3370100,SOCIOLOGY (SOC),3,3,3,3,3,3
,,,,7905,3380002,SPEC TOPIC IN SOC STUD (1ST),6,18,3,6,18,3
,,,,7905,13002300,AG FAC DESGN & FABR,17,90,5.3,17,90,5.3
,,,,7905,13002400,AGRICULTURAL POWER SYS,10,30,3,10,30,3
,,,,7905,13020300,MEDICAL TERMINOLOGY,25,75,3,25,75,3
,,,,7905,13020500,PRACTICUM HEALTH SCIENCE,9,27,3,9,27,3
,,,,7905,13020800,PATHOPHYSIOLOGY,18,54,3,18,54,3
Total,,,,7905,,,206,780,3.8,210,801,3.8
,,,,7905,,,,,,,,
7906,POTEET ISD,TRADITIONAL ISD/CSD,,7906,3220300,ENGLISH III (ENG 3),18,105,5.8,18,105,5.8
,,,,7906,3220400,ENGLISH IV (ENG 4),14,81,5.8,15,87,5.8
,,,,7906,3310300,ECONOMICS W/EMPH FREE ENTERPR,11,33,3,9,36,4
,,,,7906,3330100,UNITED STATES GOVERNMENT (GOVT,11,33,3,12,36,3
,,,,7906,3340100,US HISTORY STUDIES SINCE 1877,28,165,5.9,29,168,5.8
,,,,7906,13039600,AUTOMOTIVE TECHNOLOGY,13,78,6,13,78,6
,,,,7906,13039700,ADV AUTOMOTIVE TECHNOLOGY,10,30,3,10,30,3
Total,,,,7906,,,101,525,5.2,105,540,5.1
,,,,7906,,,,,,,,
8901,BELLVILLE ISD,TRADITIONAL ISD/CSD,,8901,3220400,ENGLISH IV (ENG 4),35,207,5.9,35,207,5.9
,,,,8901,3330100,UNITED STATES GOVERNMENT (GOVT,34,102,3,35,105,3
,,,,8901,3340100,US HISTORY STUDIES SINCE 1877,48,282,5.9,53,312,5.9
Total,,,,8901,,,117,591,5.1,123,624,5.1
,,,,8901,,,,,,,,
8902,SEALY ISD,TRADITIONAL ISD/CSD,,8902,3220400,ENGLISH IV (ENG 4),15,60,4,18,72,4
,,,,8902,3310300,ECONOMICS W/EMPH FREE ENTERPR,7,21,3,6,24,4
,,,,8902,3330100,UNITED STATES GOVERNMENT (GOVT,19,57,3,24,72,3
,,,,8902,3340100,US HISTORY STUDIES SINCE 1877,15,84,5.6,21,120,5.7
Total,,,,8902,,,51,222,4.4,65,288,4.4
,,,,8902,,,,,,,,
8903,BRAZOS ISD,TRADITIONAL ISD/CSD,,8903,3220400,ENGLISH IV (ENG 4),15,45,3,15,45,3
,,,,8903,3310300,ECONOMICS W/EMPH FREE ENTERPR,3,3,3,3,3,3
,,,,8903,3330100,UNITED STATES GOVERNMENT (GOVT,3,3,3,3,3,3
,,,,8903,3340100,US HISTORY STUDIES SINCE 1877,13,39,3,10,51,5.1
Total,,,,8903,,,25,111,4.4,27,123,4.6
,,,,8903,,,,,,,,
9901,MULESHOE ISD,TRADITIONAL ISD/CSD,,9901,3102500,INDEP STUDY IN MATH (1ST TIME),3,3,3,9,27,3
,,,,9901,3220400,ENGLISH IV (ENG 4),10,54,5.4,11,60,5.5
,,,,9901,3330100,UNITED STATES GOVERNMENT (GOVT,10,30,3,11,33,3
,,,,9901,3350100,PSYCHOLOGY (PSYCH),,0,,3,3,3
,,,,9901,13016600,ACCOUNTING I,3,3,3,3,3,3
Total,,,,9901,,,31,117,3.8,35,132,3.8
,,,,9901,,,,,,,,
10901,MEDINA ISD,TRADITIONAL ISD/CSD,,10901,3220400,ENGLISH IV (ENG 4),6,24,4,6,24,4
,,,,10901,3330100,UNITED STATES GOVERNMENT (GOVT,3,12,4,3,12,4
,,,,10901,3340100,US HISTORY STUDIES SINCE 1877,3,12,4,3,12,4
,,,,10901,3350100,PSYCHOLOGY (PSYCH),3,12,4,3,12,4
Total,,,,10901,,,14,60,4.3,14,60,4.3
