DISTRICT,SERVICE,SERVICEX,CTE_STUDENTS_2015,CTE_HOURS_2015,CTE_AVG_2015,ALL_STUDENTS_2015,ALL_HOURS_2015,ALL_AVG_2015,CTE_STUDENTS_2016,CTE_HOURS_2016,CTE_AVG_2016,ALL_STUDENTS_2016,ALL_HOURS_2016,ALL_AVG_2016,CTE_STUDENTS_2017,CTE_HOURS_2017,CTE_AVG_2017,ALL_STUDENTS_2017,ALL_HOURS_2017,ALL_AVG_2017,CTE_STUDENTS_2018,CTE_HOURS_2018,CTE_AVG_2018,ALL_STUDENTS_2018,ALL_HOURS_2018,ALL_AVG_2018,District_x,TEA District Type_x,TEA Description_x,District_y,TEA District Type_y,TEA Description_y
1906,3220300,ENGLISH III (ENG 3),6.0,24.0,4.0,10.0,30.0,3.0,9.0,27.0,3.0,15.0,45.0,3.0,6.0,18.0,3.0,6.0,18.0,3.0,11.0,57.0,5.2,11.0,57.0,5.2,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,3220400,ENGLISH IV (ENG 4),6.0,18.0,3.0,6.0,18.0,3.0,12.0,48.0,4.0,12.0,48.0,4.0,11.0,60.0,5.5,11.0,60.0,5.5,15.0,45.0,3.0,15.0,45.0,3.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,3221500,LITERARY GENRES (LIT GENR),3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,3241400,COMMUNICATION APPLICATIONS,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,15.0,3.0,5.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,3330100,UNITED STATES GOVERNMENT (GOVT,3.0,12.0,4.0,5.0,15.0,3.0,11.0,33.0,3.0,9.0,36.0,4.0,3.0,12.0,4.0,6.0,18.0,3.0,7.0,21.0,3.0,7.0,21.0,3.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,3340100,US HISTORY STUDIES SINCE 1877,13.0,39.0,3.0,12.0,57.0,4.8,10.0,30.0,3.0,14.0,42.0,3.0,18.0,54.0,3.0,18.0,54.0,3.0,11.0,33.0,3.0,10.0,36.0,3.6,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,3350100,PSYCHOLOGY (PSYCH),9.0,27.0,3.0,10.0,30.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,14.0,42.0,3.0,14.0,42.0,3.0,6.0,18.0,3.0,6.0,18.0,3.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,3370100,SOCIOLOGY (SOC),3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,3380001,SOCIAL STUDIES ADV (1ST TIME),7.0,21.0,3.0,7.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,3500100,ART I (ART 1),3.0,3.0,3.0,3.0,3.0,3.0,3.0,12.0,4.0,3.0,12.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,11.0,33.0,3.0,12.0,36.0,3.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,3500500,ART II DRAWING (ART2DRAW),3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,3580200,COMPUTER SCIENCE I,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,13008400,ADVANCED ANIMATION,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,13012100,BUSINESS MANAGEMENT,6.0,6.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1906,13020600,ANATOMY & PHYSIOLOGY,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NECHES ISD,H,Rural,NECHES ISD,H,Rural
1907,3102510,ADVANCED QUANT REASONING,18.0,93.0,5.2,18.0,93.0,5.2,19.0,105.0,5.5,20.0,111.0,5.6,34.0,195.0,5.7,36.0,207.0,5.8,40.0,228.0,5.7,42.0,240.0,5.7,PALESTINE ISD,E,Independent Town,PALESTINE ISD,E,Independent Town
1907,3220300,ENGLISH III (ENG 3),6.0,6.0,6.0,6.0,6.0,6.0,14.0,42.0,3.0,12.0,48.0,4.0,19.0,111.0,5.8,19.0,111.0,5.8,22.0,132.0,6.0,22.0,132.0,6.0,PALESTINE ISD,E,Independent Town,PALESTINE ISD,E,Independent Town
1907,3220400,ENGLISH IV (ENG 4),10.0,57.0,5.7,10.0,57.0,5.7,37.0,219.0,5.9,39.0,231.0,5.9,49.0,291.0,5.9,53.0,315.0,5.9,10.0,57.0,5.7,10.0,57.0,5.7,PALESTINE ISD,E,Independent Town,PALESTINE ISD,E,Independent Town
1907,3340100,US HISTORY STUDIES SINCE 1877,25.0,141.0,5.6,25.0,141.0,5.6,51.0,294.0,5.8,51.0,294.0,5.8,83.0,471.0,5.7,83.0,471.0,5.7,60.0,351.0,5.9,60.0,351.0,5.9,PALESTINE ISD,E,Independent Town,PALESTINE ISD,E,Independent Town
1907,13009900,PROFESSIONAL COMMUNICATIONS,33.0,99.0,3.0,33.0,99.0,3.0,9.0,27.0,3.0,9.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,PALESTINE ISD,E,Independent Town,PALESTINE ISD,E,Independent Town
1907,3020000,AP ENVIRONMENTAL SCIENCE,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PALESTINE ISD,E,Independent Town,PALESTINE ISD,E,Independent Town
1908,3102500,INDEP STUDY IN MATH (1ST TIME),3.0,12.0,4.0,5.0,15.0,3.0,3.0,12.0,4.0,7.0,21.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,WESTWOOD ISD,G,Non-metropolitan Stable,WESTWOOD ISD,G,Non-metropolitan Stable
1908,3220300,ENGLISH III (ENG 3),18.0,108.0,6.0,27.0,162.0,6.0,17.0,99.0,5.8,22.0,129.0,5.9,26.0,132.0,5.1,29.0,150.0,5.2,17.0,96.0,5.6,20.0,114.0,5.7,WESTWOOD ISD,G,Non-metropolitan Stable,WESTWOOD ISD,G,Non-metropolitan Stable
1908,3220400,ENGLISH IV (ENG 4),19.0,114.0,6.0,23.0,138.0,6.0,17.0,96.0,5.6,27.0,156.0,5.8,17.0,102.0,6.0,20.0,120.0,6.0,20.0,114.0,5.7,23.0,132.0,5.7,WESTWOOD ISD,G,Non-metropolitan Stable,WESTWOOD ISD,G,Non-metropolitan Stable
1908,3241400,COMMUNICATION APPLICATIONS,3.0,3.0,3.0,3.0,3.0,3.0,13.0,39.0,3.0,13.0,39.0,3.0,3.0,3.0,3.0,7.0,21.0,3.0,3.0,3.0,3.0,5.0,15.0,3.0,WESTWOOD ISD,G,Non-metropolitan Stable,WESTWOOD ISD,G,Non-metropolitan Stable
1908,3310300,ECONOMICS W/EMPH FREE ENTERPR,21.0,63.0,3.0,25.0,75.0,3.0,17.0,51.0,3.0,27.0,81.0,3.0,17.0,51.0,3.0,20.0,60.0,3.0,18.0,54.0,3.0,21.0,63.0,3.0,WESTWOOD ISD,G,Non-metropolitan Stable,WESTWOOD ISD,G,Non-metropolitan Stable
1908,3330100,UNITED STATES GOVERNMENT (GOVT,20.0,60.0,3.0,24.0,72.0,3.0,17.0,51.0,3.0,27.0,81.0,3.0,17.0,51.0,3.0,20.0,60.0,3.0,18.0,54.0,3.0,21.0,63.0,3.0,WESTWOOD ISD,G,Non-metropolitan Stable,WESTWOOD ISD,G,Non-metropolitan Stable
1908,3340100,US HISTORY STUDIES SINCE 1877,18.0,108.0,6.0,28.0,165.0,5.9,16.0,96.0,6.0,21.0,126.0,6.0,26.0,132.0,5.1,29.0,150.0,5.2,17.0,96.0,5.6,20.0,114.0,5.7,WESTWOOD ISD,G,Non-metropolitan Stable,WESTWOOD ISD,G,Non-metropolitan Stable
1908,3500100,ART I (ART 1),5.0,15.0,3.0,6.0,18.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0,18.0,3.0,WESTWOOD ISD,G,Non-metropolitan Stable,WESTWOOD ISD,G,Non-metropolitan Stable
1908,13011500,BUSIN INFO MGT II,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WESTWOOD ISD,G,Non-metropolitan Stable,WESTWOOD ISD,G,Non-metropolitan Stable
1908,13032300,WELDING,6.0,24.0,4.0,6.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WESTWOOD ISD,G,Non-metropolitan Stable,WESTWOOD ISD,G,Non-metropolitan Stable
1909,3220300,ENGLISH III (ENG 3),3.0,12.0,4.0,3.0,12.0,4.0,3.0,12.0,4.0,6.0,18.0,3.0,6.0,18.0,3.0,6.0,18.0,3.0,7.0,21.0,3.0,7.0,21.0,3.0,SLOCUM ISD,H,Rural,SLOCUM ISD,H,Rural
1909,3220400,ENGLISH IV (ENG 4),17.0,54.0,3.2,21.0,66.0,3.1,18.0,60.0,3.3,21.0,69.0,3.3,19.0,63.0,3.3,19.0,63.0,3.3,19.0,63.0,3.3,20.0,66.0,3.3,SLOCUM ISD,H,Rural,SLOCUM ISD,H,Rural
1909,3240900,PUBLIC SPEAKING I (PUBSPKG1),6.0,18.0,3.0,6.0,18.0,3.0,10.0,30.0,3.0,10.0,30.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,SLOCUM ISD,H,Rural,SLOCUM ISD,H,Rural
1909,3310300,ECONOMICS W/EMPH FREE ENTERPR,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SLOCUM ISD,H,Rural,SLOCUM ISD,H,Rural
1909,3330100,UNITED STATES GOVERNMENT (GOVT,13.0,39.0,3.0,17.0,51.0,3.0,6.0,18.0,3.0,9.0,27.0,3.0,21.0,63.0,3.0,21.0,63.0,3.0,23.0,69.0,3.0,24.0,72.0,3.0,SLOCUM ISD,H,Rural,SLOCUM ISD,H,Rural
1909,3340100,US HISTORY STUDIES SINCE 1877,10.0,54.0,5.4,14.0,78.0,5.6,12.0,48.0,4.0,12.0,72.0,6.0,10.0,60.0,6.0,10.0,60.0,6.0,15.0,81.0,5.4,16.0,87.0,5.4,SLOCUM ISD,H,Rural,SLOCUM ISD,H,Rural
1909,3350100,PSYCHOLOGY (PSYCH),5.0,15.0,3.0,5.0,15.0,3.0,5.0,15.0,3.0,5.0,15.0,3.0,3.0,12.0,4.0,3.0,12.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,SLOCUM ISD,H,Rural,SLOCUM ISD,H,Rural
1909,3370100,SOCIOLOGY (SOC),3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,24.0,4.0,6.0,24.0,4.0,SLOCUM ISD,H,Rural,SLOCUM ISD,H,Rural
1909,3501700,ART III HISTORY (ART3HIST),10.0,30.0,3.0,10.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SLOCUM ISD,H,Rural,SLOCUM ISD,H,Rural
1909,13014300,HUMAN GROWTH & DEVELOP,5.0,15.0,3.0,5.0,15.0,3.0,3.0,12.0,4.0,3.0,12.0,4.0,5.0,15.0,3.0,5.0,15.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,SLOCUM ISD,H,Rural,SLOCUM ISD,H,Rural
2901,3152700,MUSIC I THEORY (MUS1THY),3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ANDREWS ISD,D,Other Central City Suburban,ANDREWS ISD,D,Other Central City Suburban
2901,3220400,ENGLISH IV (ENG 4),23.0,132.0,5.7,32.0,186.0,5.8,10.0,57.0,5.7,18.0,105.0,5.8,15.0,87.0,5.8,18.0,102.0,5.7,17.0,93.0,5.5,31.0,171.0,5.5,ANDREWS ISD,D,Other Central City Suburban,ANDREWS ISD,D,Other Central City Suburban
2901,3240900,PUBLIC SPEAKING I (PUBSPKG1),25.0,75.0,3.0,28.0,84.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,42.0,3.0,17.0,51.0,3.0,27.0,81.0,3.0,35.0,105.0,3.0,ANDREWS ISD,D,Other Central City Suburban,ANDREWS ISD,D,Other Central City Suburban
2901,3330100,UNITED STATES GOVERNMENT (GOVT,22.0,66.0,3.0,29.0,87.0,3.0,12.0,12.0,1.0,24.0,24.0,1.0,25.0,75.0,3.0,31.0,93.0,3.0,18.0,54.0,3.0,38.0,114.0,3.0,ANDREWS ISD,D,Other Central City Suburban,ANDREWS ISD,D,Other Central City Suburban
2901,3350100,PSYCHOLOGY (PSYCH),33.0,99.0,3.0,36.0,108.0,3.0,15.0,45.0,3.0,26.0,78.0,3.0,17.0,50.0,2.9,20.0,59.0,3.0,32.0,96.0,3.0,39.0,117.0,3.0,ANDREWS ISD,D,Other Central City Suburban,ANDREWS ISD,D,Other Central City Suburban
2901,3370100,SOCIOLOGY (SOC),3.0,3.0,3.0,7.0,21.0,3.0,6.0,18.0,3.0,6.0,24.0,4.0,9.0,27.0,3.0,14.0,42.0,3.0,3.0,12.0,4.0,7.0,21.0,3.0,ANDREWS ISD,D,Other Central City Suburban,ANDREWS ISD,D,Other Central City Suburban
2901,3440300,LANG O/T ENGLISH III - SPANISH,11.0,44.0,4.0,10.0,60.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,ANDREWS ISD,D,Other Central City Suburban,ANDREWS ISD,D,Other Central City Suburban
3801,3010200,BIOLOGY (BIO),13.0,60.0,4.6,20.0,92.0,4.6,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3040000,CHEMISTRY (CHEM),4.0,4.0,4.0,11.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3060200,EARTH AND SPACE SCIENCE (ESS),3.0,12.0,4.0,11.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3101100,PRECALCULUS (PRE CALC),3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3102520,DISCRETE MATH FOR PRBLM SOLVNG,3.0,3.0,3.0,5.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3152700,MUSIC I THEORY (MUS1THY),5.0,15.0,3.0,20.0,58.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3220300,ENGLISH III (ENG 3),14.0,42.0,3.0,22.0,111.0,5.0,15.0,45.0,3.0,21.0,63.0,3.0,27.0,29.0,1.1,31.0,33.0,1.1,17.0,17.0,1.0,25.0,25.0,1.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3220400,ENGLISH IV (ENG 4),12.0,54.0,4.5,22.0,102.0,4.6,5.0,15.0,3.0,5.0,15.0,3.0,16.0,16.0,1.0,16.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3241400,COMMUNICATION APPLICATIONS,6.0,18.0,3.0,21.0,63.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,17.0,1.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3250700,THEATRE PRODUCTION I (TH1PROD),3.0,3.0,3.0,3.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3310300,ECONOMICS W/EMPH FREE ENTERPR,10.0,30.0,3.0,18.0,54.0,3.0,5.0,15.0,3.0,11.0,33.0,3.0,12.0,12.0,1.0,28.0,28.0,1.0,15.0,15.0,1.0,19.0,19.0,1.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3310301,ECONOMICS ADV STUDIES (1ST),3.0,3.0,3.0,7.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3330100,UNITED STATES GOVERNMENT (GOVT,14.0,54.0,3.9,39.0,144.0,3.7,3.0,3.0,3.0,10.0,30.0,3.0,14.0,14.0,1.0,15.0,15.0,1.0,12.0,12.0,1.0,19.0,19.0,1.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3340100,US HISTORY STUDIES SINCE 1877,9.0,27.0,3.0,39.0,117.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3370100,SOCIOLOGY (SOC),3.0,3.0,3.0,7.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
3801,3440400,LANG O/T ENGLISH IV - SPANISH,14.0,42.0,3.0,35.0,189.0,5.4,15.0,66.0,4.4,30.0,144.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts,PINEYWOODS COMMUNITY ACADEMY,I,Charter School Districts
